lat,lon,name,admin1,admin2,cc
37.5275,65.75833,Khamyāb,,,AF
32.8385,67.07377,Khākirān,,,AF
34.24088,70.18274,Kaz̲h̲ah,,,AF
31.62519,65.05511,Kishk-e Nakhūd,,,AF
34.48108,62.5863,Karukh,,,AF
34.9536,70.77897,Kanḏay,,,AF
31.61332,65.71013,Kandahār,,,AF
33.83676,68.40233,Kalān Deh,,,AF
34.78371,69.15001,Kalakān,,,AF
36.77226,69.94489,Kalafgān,,,AF
33.20357,65.47311,Kajrān,,,AF
34.12819,70.71828,Kā’ī,,,AF
34.52813,69.17233,Kabul,,,AF
36.86477,70.83421,Jurm,,,AF
35.06361,64.14917,Jawand,,,AF
32.76315,68.39722,Jānī Khēl,,,AF
34.4708,68.65438,Jalrēz,,,AF
34.42647,70.45153,Jalālābād,,,AF
35.11833,69.23778,Jabal os Saraj,,,AF
31.98303,67.33558,Ḩukūmat-e Shīnkaī,,,AF
34.34817,62.19967,Herāt,,,AF
35.10922,69.43341,Ḩājī Khēl,,,AF
37.05643,70.40061,Ḩāfiz̧ Moghul,,,AF
34.28665,70.37247,Ḩāfiz̧ān,,,AF
34.21223,62.21235,Guz̄arah,,,AF
34.35822,70.76264,Gōshtah,,,AF
32.50989,68.85598,Gōmal Kêlay,,,AF
32.72692,67.63696,‘Alāqahdārī Gēlān,,,AF
34.3448,61.49321,Ghōriyān,,,AF
35.73062,63.78264,Ghormach,,,AF
36.5222,70.79063,Ghurayd Gharamē,,,AF
33.55391,68.42096,Ghazni,,,AF
31.82089,64.57005,Gereshk,,,AF
33.59744,69.22592,Gardez,,,AF
37.11664,70.58002,Fayzabad,,,AF
36.82091,66.45921,Faīẕābād,,,AF
36.29111,64.86222,Fayẕābād,,,AF
33.78529,63.24735,Qal‘ah-ye Fārsī,,,AF
36.57288,69.85783,Farkhār,,,AF
32.37451,62.11638,Farah,,,AF
34.83268,69.07756,Istālif,,,AF
34.66667,61.06667,Eslam Qaleh,,,AF
37.3011,66.46181,Islām Chumgar,,,AF
34.30157,62.2465,Injīl,,,AF
37.18897,68.93644,Imām Şāḩib,,,AF
35.60918,68.68473,Dōshī,,,AF
34.55132,65.79302,Dowlatyār,,,AF
34.9504,70.07102,Dowlat Shāh,,,AF
36.98821,66.82069,Dowlatābād,,,AF
36.43259,64.92071,Dowlatābād,,,AF
32.14237,61.4469,Dū Qal‘ah,,,AF
35.56277,67.82191,Dūāb,,,AF
32.43205,65.63484,Dê Nārkhēl Kêlay,,,AF
35.95806,67.27998,Dehī,,,AF
35.69031,69.31511,Deh-e Şalāḩ,,,AF
34.74767,69.04784,Deh-e Now,,,AF
36.66319,66.99339,Dehdādī,,,AF
33.28159,69.58531,Dwah Manḏay,,,AF
37.1539,69.4435,Dasht-e Qal‘ah,,,AF
33.02978,63.8395,Dasht-e Qal‘ah,,,AF
37.13333,69.16667,Dasht-e Archī,,,AF
35.97744,65.37828,Darzāb,,,AF
31.13231,64.1934,Markaz-e Ḩukūmat-e Darwēshān,,,AF
37.38414,69.45294,Darqad,,,AF
36.86667,70.38333,Darāyim,,,AF
34.99249,71.41935,Dāngām,,,AF
34.79095,69.47504,Ḏanḏar,,,AF
35.90617,68.48869,Ḩukūmatī Dahanah-ye Ghōrī,,,AF
34.69246,70.92688,Tsowkêy,,,AF
35.41674,65.98234,Chīras,,,AF
37.07045,69.29842,Chīchkah,,,AF
34.34731,63.73966,Chisht-e Sharīf,,,AF
32.01583,65.10721,Chinār,,,AF
36.67818,66.80325,Chimtāl,,,AF
33.79712,68.93749,Charkh,,,AF
35.01361,69.17139,Charikar,,,AF
36.69132,68.79093,Dowr-e Rabāţ,,,AF
33.83003,69.9192,Tsapêraī,,,AF
33.80298,69.81671,Tsamkanī,,,AF
34.34099,69.4377,Chakaray,,,AF
36.91112,71.0688,Chākarān,,,AF
33.55267,68.29828,Chahār Qal‘ah,,,AF
34.24475,62.19165,Chahār Burj,,,AF
37.39773,69.81464,Chāh Āb,,,AF
34.51952,65.25093,Fayrōz Kōh,,,AF
34.87706,68.0879,Bulōlah,,,AF
35.84026,65.2309,Bal Chirāgh,,,AF
35.39205,68.22317,Bāzār-e Tālah,,,AF
34.24749,70.87218,Muhmand Dara,,,AF
36.22242,69.15037,Būrkah,,,AF
35.67283,71.34339,Barg-e Matāl,,,AF
33.93949,68.92201,Barakī,,,AF
33.96744,68.9492,Baraki Barak,,,AF
35.63348,69.26019,Banū,,,AF
34.82156,67.82734,Bāmyān,,,AF
36.75635,66.8972,Balkh,,,AF
37.00254,70.90664,Bahārak,,,AF
34.49376,69.27427,Bagrāmī,,,AF
36.13068,68.70829,Baghlān,,,AF
34.17355,69.64573,Ḩukūmatī Azrah,,,AF
37.08571,69.47958,Ārt Khwājah,,,AF
31.73506,67.3574,‘Alāqahdārī Aṯghar,,,AF
35.03333,71.35809,Āsmār,,,AF
36.68333,71.53333,Ashkāsham,,,AF
34.87311,71.14697,Asadābād,,,AF
36.905,66.18341,Aqcha,,,AF
36.95293,65.12376,Andkhoy,,,AF
35.23251,69.37719,’Unābah,,,AF
32.7587,61.65397,Anār Darah,,,AF
30.21144,66.04765,Amānzī,,,AF
35.84616,64.53074,‘Alāqahdārī-ye Almār,,,AF
33.4362,70.06711,‘Alī Shēr ‘Alāqahdārī,,,AF
34.83529,70.3593,Wuluswālī ‘Alīngār,,,AF
33.94253,69.71908,‘Alī Khēl,,,AF
33.05195,68.65,‘Alāqahdārī Yōsuf Khēl,,,AF
30.43206,63.29802,‘Alāqahdārī Dīshū,,,AF
34.8965,69.72049,Alah Sāy,,,AF
34.20011,70.27806,Pachīr wa Āgām,,,AF
36.66172,69.35095,Āfāqī,,,AF
33.64573,62.26959,Adraskan,,,AF
35.08796,63.0678,Āb-e Kamarī,,,AF
33.92232,65.93398,Khadīr,,,AF
34.95076,69.2287,Ghulām ‘Alī,,,AF
34.8529,69.17062,Qarah Bāgh Bāzār,,,AF
34.78764,69.05878,Zargarān,,,AF
34.68474,69.02863,Surkh Bilandī,,,AF
34.59972,69.25993,Pul-e Sangī,,,AF
35.99474,68.05081,Langar,,,AF
35.22156,69.21397,Bāgh-e Maīdān,,,AF
35.05352,69.25654,Ibrāhīm Khān,,,AF
37.21528,67.63972,Qaranghū Tōghaī,,,AF
35.31292,69.51519,Bāzārak,,,AF
35.01468,69.59934,Shērwānī-ye Bālā,,,AF
35.2973,69.68125,Kirāmān,,,AF
32.79331,69.0866,‘Alāqahdārī Saṟōbī,,,AF
33.15806,69.31278,Zīṟūk ‘Alāqahdārī,,,AF
32.28991,61.52194,Kushkak,,,AF
32.85355,68.44971,Khayr Kōṯ,,,AF
33.38278,66.27233,Chowṉêy,,,AF
34.91914,71.09863,Wuṯahpūr,,,AF
34.96597,71.2746,Karbōṟī,,,AF
34.41204,70.29634,Sulţānpūr-e ‘Ulyā,,,AF
31.66144,65.66098,Bābā Şāḩib,,,AF
34.58469,68.95524,Chandal Bā’ī,,,AF
34.92891,68.46273,Dahan-e Jarf,,,AF
34.39561,68.86618,Maydanshakhr,,,AF
34.15599,64.78566,Dū Laīnah,,,AF
36.83006,65.04299,Qaram Qōl,,,AF
35.61794,69.47134,Pul-e Ḩişār,,,AF
36.02634,66.83799,Lab-Sar,,,AF
36.61922,69.62805,Ţāqchah Khānah,,,AF
37.52845,70.4482,March,,,AF
37.59233,70.55814,Zīrakī,,,AF
36.52115,68.89985,‘Alīābād,,,AF
37.47355,70.61617,Pas Pul,,,AF
34.39951,69.16705,Qal‘ah-ye Na‘īm,,,AF
34.12583,70.70778,Markaz-e Woluswalī-ye Āchīn,,,AF
34.99015,70.91302,Māṉōgay,,,AF
32.97704,69.37308,Stêr Giyān,,,AF
33.17568,68.73045,Sharan,,,AF
33.67067,69.32983,Salām Khēl,,,AF
31.54576,62.73484,Mazad,,,AF
17.08684,-61.7093,Willikies,,,AG
17.05037,-61.80091,Swetes,,,AG
17.12096,-61.84329,Saint John’s,,,AG
17.11337,-61.81962,Potters Village,,,AG
17.11667,-61.8,Piggotts,,,AG
17.09682,-61.77046,Parham,,,AG
17.14575,-61.81344,New Winthorpes,,,AG
17.04141,-61.79052,Liberta,,,AG
17.02741,-61.78136,Falmouth,,,AG
17.6394,-61.82437,Codrington,,,AG
17.06565,-61.87466,Bolands,,,AG
17.06671,-61.79303,All Saints,,,AG
17.08837,-61.81752,Sugar Factory,,,AG
17.10929,-61.86328,Jacks Hill,,,AG
17.0234,-61.76928,St. Paul Parish,,,AG
17.62403,-61.77651,Barbuda Parish,,,AG
17.11692,-61.79561,St. George Parish,,,AG
17.08487,-61.71223,St. Peter Parish,,,AG
17.07223,-61.87441,St. Mary Parish,,,AG
17.05426,-61.72716,St. Philip Parish,,,AG
18.17191,-63.14941,West End Village,,,AI
18.21704,-63.05783,The Valley,,,AI
18.20799,-63.04178,The Quarter,,,AI
18.215,-63.02238,Farrington,,,AI
18.22026,-63.04607,Stoney Ground,,,AI
18.19201,-63.08779,South Hill Village,,,AI
18.20118,-63.08998,Sandy Ground Village,,,AI
18.22919,-63.04401,North Side,,,AI
18.20542,-63.07847,North Hill Village,,,AI
18.25601,-63.0102,Island Harbour,,,AI
18.19939,-63.0665,George Hill,,,AI
18.23333,-63,East End Village,,,AI
18.17648,-63.09375,Blowing Point Village,,,AI
18.22104,-63.01329,Sandy Hill,,,AI
39.72833,20.05444,Xarrë,,,AL
39.87534,20.00477,Sarandë,,,AL
39.91028,20.09222,Mesopotam,,,AL
39.73278,20.19528,Markat,,,AL
39.78917,20.12194,Livadhja,,,AL
39.65889,20.18139,Konispol,,,AL
39.90778,20.35833,Kakavijë,,,AL
39.90639,20.05833,Finiq,,,AL
39.83611,20.16861,Dhivër,,,AL
39.95111,20.09778,Delvinë,,,AL
39.85861,20.07917,Aliko,,,AL
40.89139,20.68139,Buçimas,,,AL
41.50222,20.36056,Zerqan,,,AL
40.98083,20.28083,Zavalinë,,,AL
42.05056,20.5525,Zapod,,,AL
41.87611,20.32,Zall-Reç,,,AL
41.80667,20.33611,Zall-Dardhë,,,AL
41.45472,20.02556,Xibër-Murrizë,,,AL
40.79694,20.77694,Vreshtas,,,AL
40.63306,20.58889,Voskopojë,,,AL
40.61194,20.69028,Voskop,,,AL
40.525,20.5825,Vithkuq,,,AL
40.20472,20.25944,Vithkuq,,,AL
40.62889,20.05389,Vërtop,,,AL
40.00667,20.00889,Vergo,,,AL
40.50722,20.13472,Vendresha e Vogël,,,AL
40.95472,20.46222,Velçan,,,AL
41.90833,20.34694,Ujmisht,,,AL
40.96333,20.63917,Udënisht,,,AL
40.83417,20.11194,Tunjë,,,AL
41.02472,20.07833,Tregan,,,AL
41.41111,20.53556,Trebisht-Muçinë,,,AL
40.91333,20.55306,Trebinjë,,,AL
40.37722,20.21333,Topojan,,,AL
41.69083,20.42167,Tomin,,,AL
40.29583,20.01917,Tepelenë,,,AL
41.99222,20.34417,Surroj,,,AL
40.88472,20.09944,Sult,,,AL
40.37528,20.15472,Sukë,,,AL
41.57694,20.05139,Suç,,,AL
41.00528,20.42306,Stravaj,,,AL
41.33722,20.47,Steblevë,,,AL
41.80111,20.40833,Sllovë,,,AL
40.10722,20.36639,Skore,,,AL
40.77611,20.24056,Skënderbegas,,,AL
41.0975,20.14833,Shushicë,,,AL
41.53,20.42361,Shupenzë,,,AL
42.04056,20.43417,Shtiqën,,,AL
41.98,20.60583,Shishtavec,,,AL
41.05194,20.05333,Shirgjan,,,AL
41.92611,20.18833,Shëngjin,,,AL
42.10417,20.23833,Shënmëri,,,AL
41.6275,20.27917,Selishtë,,,AL
40.10528,20.22944,Saraqinishtë,,,AL
41.68361,20.01917,Rukaj,,,AL
41.09028,20.57639,Rajcë,,,AL
40.73278,20.03944,Roshnik Qender,,,AL
41.08389,20.43806,Qukës-Skënderbe,,,AL
40.1175,20.19972,Qestorat,,,AL
40.76333,20.00972,Qereshnik,,,AL
42.09333,20.09056,Qafëmal,,,AL
41.06667,20.53528,Përrenjas-Fshat,,,AL
41.07306,20.54889,Përrenjas,,,AL
40.98611,20.5025,Proptisht,,,AL
40.69417,20.94028,Progër,,,AL
40.48833,20.37333,Potom,,,AL
40.94194,20.29861,Poroçan,,,AL
41.13333,20.25833,Polis-Gostimë,,,AL
40.61222,20.09806,Poliçan,,,AL
40.72583,20.8375,Pojan,,,AL
40.9025,20.6525,Pogradec,,,AL
40.88111,20.18278,Pishaj,,,AL
40.785,20.70611,Pirg,,,AL
40.19944,20.40611,Gjinkar,,,AL
40.20944,20.41833,Petran,,,AL
41.685,20.42858,Peshkopi,,,AL
40.23361,20.35167,Përmet,,,AL
41.43083,20.45556,Ostreni i Math,,,AL
41.83333,20.08333,Orosh,,,AL
41.28472,20.21194,Orenjë,,,AL
40.13333,20.16667,Odrie,,,AL
40.76139,20.69833,Novoselë,,,AL
40.16667,20.04833,Picar,,,AL
40.92694,20.00361,Mollas,,,AL
40.42556,20.67444,Mollas,,,AL
40.56028,20.74028,Mollaj,,,AL
40.50917,20.92833,Miras,,,AL
41.65417,20.46528,Melan,,,AL
40.60333,20.80306,Mborje,,,AL
41.4,20.2,Martanesh,,,AL
41.58889,20.48306,Maqellarë,,,AL
40.70583,20.69972,Maliq,,,AL
41.68861,20.11028,Macukull,,,AL
41.28917,20.32361,Lunik,,,AL
42.34139,20.10861,Llugaj,,,AL
41.6275,20.08528,Lis,,,AL
40.78667,20.90222,Liqenas,,,AL
41.17944,20.315,Librazhd,,,AL
40.70444,20.70861,Libonik,,,AL
40.03111,20.26306,Libohovë,,,AL
40.15139,20.59722,Leskovik,,,AL
40.53694,20.31333,Leshnjë,,,AL
40.76667,20.39139,Lenias,,,AL
40.60222,20.5125,Lekas,,,AL
40.04667,20.1475,Lazarat,,,AL
41.20083,20.15222,Labinot-Mal,,,AL
